user_id,product_id,product_name,category
user_1,P5012,Dell Inspiron Laptop,Electronics
user_1,P2679,Woodland Boots,Fashion
user_1,P7912,Daawat Basmati Rice,Grocery
user_2,P4582,Redmi Note 12,Electronics
user_2,P1434,Allen Solly Formal Shirt,Fashion
user_2,P9928,Amul Butter,Grocery
user_3,P5557,Tommy Hilfiger Watch,Fashion
user_3,P7924,JBL Bluetooth Speaker,Electronics
user_3,P3547,Voltas AC,Home Appliances
user_3,P2674,UCB Polo T-Shirt,Fashion
user_3,P2584,Boat Rockerz Headphones,Electronics
user_3,P5333,Kent Water Purifier,Home Appliances
user_4,P3045,Minimalist Serum,Beauty Products
user_4,P5803,Mamaearth Face Wash,Beauty Products
user_4,P4150,Catch Spices,Grocery
user_5,P5741,Samsung Smartwatch,Electronics
user_5,P2654,Samsung Smartwatch,Electronics
user_5,P8428,Neutrogena Sunscreen,Beauty Products
user_6,P6820,HRX Tracksuit,Fashion
user_6,P2169,RayBan Sunglasses,Fashion
user_6,P9751,Kellogg's Cornflakes,Grocery
user_6,P8573,H&M Casual Shirt,Fashion
user_6,P4598,Neutrogena Sunscreen,Beauty Products
user_7,P1525,Samsung Smartwatch,Electronics
user_7,P5386,Prestige Induction Cooktop,Home Appliances
user_7,P6155,Apple Airpods Pro,Electronics
user_7,P7482,Reebok Running Shoes,Fashion
user_7,P5339,Dove Body Lotion,Beauty Products
user_8,P9830,Louis Philippe Blazer,Fashion
user_8,P8019,Eureka Forbes Vacuum,Home Appliances
user_8,P6930,Maggi Noodles,Grocery
user_8,P9348,Woodland Boots,Fashion
user_9,P2796,Samsung Galaxy S23,Electronics
user_9,P7916,H&M Casual Shirt,Fashion
user_9,P7304,Daawat Basmati Rice,Grocery
user_9,P8668,Colorbar Nail Polish,Beauty Products
user_9,P1188,Parle-G Biscuits,Grocery
user_9,P5371,GoPro Hero10,Electronics
user_10,P8123,Mi Powerbank,Electronics
user_10,P1053,Tommy Hilfiger Watch,Fashion
user_10,P3927,Godrej Air Conditioner,Home Appliances
user_10,P5889,Nestle Everyday Milk Powder,Grocery
user_10,P4258,Everest Masala,Grocery
user_11,P9837,IFB Dishwasher,Home Appliances
user_11,P6310,Aashirvaad Atta,Grocery
user_11,P2832,Lakme Lipstick,Beauty Products
user_11,P4923,Havells Geyser,Home Appliances
user_12,P2290,Roadster Leather Jacket,Fashion
user_12,P2133,Samsung 4K TV,Electronics
user_12,P3103,Tata Tea Premium,Grocery
user_13,P5342,Kellogg's Cornflakes,Grocery
user_13,P7932,Everest Masala,Grocery
user_13,P4295,Louis Philippe Blazer,Fashion
user_13,P7118,Prestige Induction Cooktop,Home Appliances
user_13,P8397,Tresemme Conditioner,Beauty Products
user_13,P4681,Samsung Smartwatch,Electronics
user_14,P4770,LG Washing Machine,Home Appliances
user_14,P1117,Britannia Bread,Grocery
user_14,P4750,Samsung Galaxy S23,Electronics
user_15,P2160,HP Wireless Mouse,Electronics
user_15,P5562,Britannia Bread,Grocery
user_15,P9834,Biotique Face Cream,Beauty Products
user_16,P8744,Mother Dairy Paneer,Grocery
user_16,P7669,Reebok Running Shoes,Fashion
user_16,P2588,Puma Sports Shoes,Fashion
user_16,P7939,Sugar Eyeliner,Beauty Products
user_17,P2612,Maybelline Foundation,Beauty Products
user_17,P6559,Boat Rockerz Headphones,Electronics
user_17,P4139,Samsung Smartwatch,Electronics
user_17,P8350,Louis Philippe Blazer,Fashion
user_17,P4006,Pepe Jeans Top,Fashion
user_17,P5092,Usha Pedestal Fan,Home Appliances
user_18,P2604,Minimalist Serum,Beauty Products
user_18,P1241,GoPro Hero10,Electronics
user_18,P3724,Samsung Smartwatch,Electronics
user_19,P4502,Pond's Moisturizer,Beauty Products
user_19,P3697,Maybelline Foundation,Beauty Products
user_19,P7396,Lakme Lipstick,Beauty Products
user_19,P5673,Usha Pedestal Fan,Home Appliances
user_19,P8973,Minimalist Serum,Beauty Products
user_19,P5861,Zara Denim Jacket,Fashion
user_20,P9883,Amazon Echo Dot,Electronics
user_20,P1936,HP Wireless Mouse,Electronics
user_20,P8811,Amazon Echo Dot,Electronics
user_20,P3579,Sunfeast Pasta,Grocery
user_21,P4044,Daawat Basmati Rice,Grocery
user_21,P2113,Realme Buds Air,Electronics
user_21,P2964,Biba Kurti,Fashion
user_22,P1651,Roadster Leather Jacket,Fashion
user_22,P7868,Daawat Basmati Rice,Grocery
user_22,P9565,Mother Dairy Paneer,Grocery
user_22,P4346,Voltas AC,Home Appliances
user_22,P5351,Orient Ceiling Fan,Home Appliances
user_22,P5915,Dove Body Lotion,Beauty Products
user_22,P2188,Plum Night Cream,Beauty Products
user_23,P2638,Colorbar Nail Polish,Beauty Products
user_23,P4492,GoPro Hero10,Electronics
user_23,P3170,Parle-G Biscuits,Grocery
user_24,P7054,Samsung Smartwatch,Electronics
user_24,P8179,IFB Dishwasher,Home Appliances
user_24,P9666,MTR Ready to Eat,Grocery
user_24,P5905,GoPro Hero10,Electronics
user_24,P5333,Sony WH-1000XM4,Electronics
user_25,P3546,GoPro Hero10,Electronics
user_25,P4450,Havells Geyser,Home Appliances
user_25,P5325,Bajaj Room Heater,Home Appliances
user_26,P1832,Neutrogena Sunscreen,Beauty Products
user_26,P5533,iPad Air,Electronics
user_26,P6464,iPhone 15,Electronics
user_26,P3647,RayBan Sunglasses,Fashion
user_26,P8007,Minimalist Serum,Beauty Products
user_26,P2832,Aashirvaad Atta,Grocery
user_26,P9938,Sony WH-1000XM4,Electronics
user_27,P3426,Eureka Forbes Vacuum,Home Appliances
user_27,P1685,Dove Body Lotion,Beauty Products
user_27,P1653,Kent Water Purifier,Home Appliances
user_28,P2684,Forever 21 Skirt,Fashion
user_28,P7658,Crompton Desert Cooler,Home Appliances
user_28,P4878,Tata Tea Premium,Grocery
user_28,P7755,H&M Casual Shirt,Fashion
user_28,P6442,JBL Bluetooth Speaker,Electronics
user_29,P3608,RayBan Sunglasses,Fashion
user_29,P1634,Boat Rockerz Headphones,Electronics
user_29,P4269,The Body Shop Body Butter,Beauty Products
user_29,P6000,Sugar Eyeliner,Beauty Products
user_29,P1387,Forever 21 Skirt,Fashion
user_29,P6378,Biba Kurti,Fashion
user_30,P6753,Dell Inspiron Laptop,Electronics
user_30,P9785,Maggi Noodles,Grocery
user_30,P2889,LG Washing Machine,Home Appliances
user_30,P5349,IFB Dishwasher,Home Appliances
user_30,P8119,OnePlus 11,Electronics
user_31,P9379,Morphy Richards OTG,Home Appliances
user_31,P4114,Boat Rockerz Headphones,Electronics
user_31,P8144,Samsung Refrigerator,Home Appliances
user_31,P9821,Sony PlayStation 5,Electronics
user_31,P8066,HRX Tracksuit,Fashion
user_32,P6143,Pigeon Rice Cooker,Home Appliances
user_32,P9308,Mi Powerbank,Electronics
